,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2366,91448D19D04940A16598E2EDC659B564,0.72298,0.0,0.0,2.8,0.0,0.0
2367,91467BB15959F86F46DF9C01055ECAE2,12.58862,0.0,0.0,2.8,0.0,0.0
2368,91520E7705CC50AF5FE49C45FA18FF52,0.0,270.77707,0.0,0.0,6.0,0.0
2369,915A5FC5CFCB9C5A7CF2F364B91FFB9D,14.214310000000001,0.0,0.0,11.4,0.0,0.0
2370,915DCBE04B6F8F4B79799940963E8812,376.66679,0.0,0.0,28.1,0.0,0.0
2371,9162F440B7EC2400FDA61757946EB35E,3.37475,0.0,0.0,1.3,0.0,0.0
2372,917CEECDCB032DE44C184DE7160ADD72,631.26054,524.58915,0.0,51.7,49.7,0.0
2373,918512346638B435902579BE77310DB5,0.8539199999999999,0.0,0.0,0.8,0.0,0.0
2374,919A8DC4029E5BD71D06F88E1E282D69,29.139760000000003,0.24767999999999998,0.0,2.1,0.1,0.0
2375,919BB2DF1B6551FEC294C9AB7E02E073,249.80159000000003,0.0,0.0,38.0,0.0,0.0
2376,91BEE5F4A2939A4CD1C579ADB99B9AF1,181.95218,0.0,0.0,26.6,0.0,0.0
2377,91D5D9C7EA18BD458329C6D14F77B080,5.5063699999999995,0.0,0.0,2.0,0.0,0.0
2378,91EF2CFA7ACCFF1EC1C5F8D0CBBEFBEB,337.56139,0.0,0.0,25.2,0.0,0.0
2379,91F2D80FA8F33131647E13711C0848ED,231.05433000000002,0.0,0.0,8.1,0.0,0.0
2380,922BBD522CE0329CF41F5ED3015B80A0,827.9393299999999,162.0913,0.13169,51.3,65.4,1.4
2381,922E567CAE5B1640017020976209B779,367.65747,0.0,0.0,20.8,0.0,0.0
2382,923FC6BEC8AABAD97D4C3C27D20AC393,56.87924,0.0,0.0,29.1,0.0,0.0
2383,924FDDD43BE363E0234E23CF7838C4C6,0.01709,0.0,0.0,0.4,0.0,0.0
2384,9253BD14FC36DE3D87AA807F727D443C,835.9171399999999,0.0,0.0,25.2,0.0,0.0
2385,925BE57C1C6190A1293E720AD103A6DE,1.42549,0.0,0.0,13.5,0.0,0.0
